Aircraft TypeDesignator,Class,Number+Engine Type/FAA Weight Class,"MANUFACTURER, Model"
PAUL,Fixed-wing,1P/S,"NEIVA, L-6 Paulistinha"
PAV4,Gyrocopter,1P/S,"CARTER, PAV-4"
PAY1,Fixed-wing,2T/S,"PIPER, PA-31T1-500 Cheyenne 1"
PAY2,Fixed-wing,2T/S,"PIPER, PA-31T-620 Cheyenne 2"
PAY3,Fixed-wing,2T/S,"PIPER, PA-42-720 Cheyenne 3"
PAY4,Fixed-wing,2T/S,"PIPER, PA-42-1000 Cheyenne 400"
PC12,Fixed-wing,1T/S,"PILATUS, PC-12"
PC21,Fixed-wing,1T/S,"PILATUS, PC-21"
PC24,Fixed-wing,2J/S+,"PILATUS, PC-24"
PC6P,Fixed-wing,1P/S,"PILATUS, PC-6 Porter"
PC6T,Fixed-wing,1T/S,"PILATUS, PC-6A Turbo-Porter"
PC7,Fixed-wing,1T/S,"PILATUS, PC-7 Astra"
PC9,Fixed-wing,1T/S,"PILATUS, PC-9"
PCA2,Gyrocopter,1P/S,"PITCAIRN-CIERVA, PCA-2"
PDIG,Fixed-wing,2P/S,"VSTOL, SST-2000 Pairadigm"
PECR,Fixed-wing,1P/S,"PRO-COMPOSITES, Personal Cruiser"
PEGA,Fixed-wing,2P/S,"GENERAL AVIA, F-20 Pegaso"
PEGZ,Fixed-wing,1P/S,"PEGASE AERO, Pegazair"
PELI,Fixed-wing,1P/S,"FLYER, Pelican"
PEMB,Fixed-wing,2P/S+,"PERCIVAL, P-66 Pembroke"
PETL,Fixed-wing,1P/S,"AERO ITBA, Petrel"
PETR,@Fixed-wing,1P/S,EDRA Super Petrel
PGEE,Fixed-wing,1P/S,"HOLCOMB, Perigee"
PGK1,Fixed-wing,1P/S,"WESTERN, PGK-1 Hirondelle"
PHIL,Helicopter,1P/S,"VTOL AIRCRAFT, Phillicopter"
PHIX,Gyrocopter,1P/S,"PHENIX, Phenix"
PHNX,Fixed-wing,1P/S,"FREEDOM, Phoenix"
PIAE,Fixed-wing,1E/S,"PIPISTREL, Alpha Electro"
PIAT,Fixed-wing,1P/S,"PIPISTREL, Alpha Trainer"
PICO,Fixed-wing,1P/S,"GENERAL AVIA, F-15 Picchio"
PILL,Fixed-wing,1P/S,CASA T-35 PillÃÂ¡n
PINO,Fixed-wing,1P/S,"GENERAL AVIA, F-22 Pinguino"
PIPA,Fixed-wing,1P/S,"PIPISTREL, Panthera"
PISI,Fixed-wing,1P/S,"PIPISTREL, Sinus"
PIT4,Fixed-wing,1E/S,"PIPISTREL, Taurus Electro G4"
PITA,Fixed-wing,1P/S,"PIPISTREL, Taurus 503"
PITE,Fixed-wing,1E/S,"PIPISTREL, Taurus Electro"
PIVE,Fixed-wing,1E/S,"PIPISTREL, Virus (electric)"
PIVI,Fixed-wing,1P/S,"PIPISTREL, Virus"
PK11,Fixed-wing,1P/S,"PIK, PIK-11 Tumppu"
PK15,Fixed-wing,1P/S,"PIK, PIK-15 Hinu"
PK18,Fixed-wing,1P/S,"PIK, PIK-18 Sytky"
PK19,Fixed-wing,1P/S,"PIK, PIK-19 Muhinu"
PK20,Fixed-wing,1P/S,"PIK, PIK-20E"
PK21,Fixed-wing,1P/S,"PIK, PIK-21 Super Sytky"
PK23,Fixed-wing,1P/S,"PIK, PIK-23 Suhinu"
PK25,Fixed-wing,1P/S,"PIK, PIK-25 Varttimarkka"
PKAN,Fixed-wing,1P/S,"UETZ, U-3M Pelikan"
PL1,Fixed-wing,1P/S,"PAZMANY, PL-1 Laminar"
PL12,Fixed-wing,1P/S,"TRANSAVIA, PL-12 Airtruk"
PL2,Fixed-wing,1P/S,"PAZMANY, PL-2"
PL4,Fixed-wing,1P/S,"PAZMANY, PL-4"
PL9,Fixed-wing,1P/S,"PAZMANY, PL-9 Stork"
PLUS,Fixed-wing,1P/S,"TAYLORCRAFT (2), Plus C"
PNR2,Fixed-wing,1P/S,"ALPI, Pioneer 200"
PNR3,Fixed-wing,1P/S,"ALPI, Pioneer 300"
PNR4,Fixed-wing,1P/S,"ALPI, Pioneer 400"
PO2,Fixed-wing,1P/S,"POLIKARPOV, Po-2"
PO60,Fixed-wing,1P/S,"POTEZ, 60 Sauterelle"
POLI,Fixed-wing,1P/S,"ALVAREZ, Polliwagen"
PONY,@Fixed-wing,1P/S,"REDA, Pony"
PP2,Fixed-wing,1P/S,PILATUS P-2
PP3,Fixed-wing,1P/S,PILATUS P-3
PPRO,Fixed-wing,1P/S,"HUNTING PERCIVAL, P-56 Provost"
PRBP,Fixed-wing,1P/S,"HOWARD HUGHES, Pocket Rocket PR-Bipe"
PRBR,Fixed-wing,1P/S,"HOWARD HUGHES, Pocket Rocket PR-Breeze"
PRCE,Fixed-wing,2P/S,"PERCIVAL, P-57 Sea Prince"
PREN,Fixed-wing,1P/S,"PERCIVAL, P-40 Prentice"
PRET,Fixed-wing,1P/S,"GM&T, GM&T Pretty Flight"
PREX,Fixed-wing,1P/S,"PRIVATE EXPLORER, Private Explorer"
PRIM,Fixed-wing,1P/S,"BLACKSHAPE, Prime"
PRM1,Fixed-wing,2J/S+,"HAWKER BEECHCRAFT, 390 Premier 1"
PROC,Fixed-wing,1P/S,"PERCIVAL, P-28 Proctor"
PROT,Fixed-wing,1P/S,"CZAW, Parrot"
PROW,Fixed-wing,1P/S,"MORSE, 364 Prowler"
PRPR,Fixed-wing,1P/S,"HOWARD HUGHES, Pocket Rocket PR-582"
PRTS,Fixed-wing,2J/S,"SCALED, 281 Proteus"
PRXT,Fixed-wing,1T/S,"PRIVATE EXPLORER, T-Explorer"
PSTM,Fixed-wing,1P/S,"PODESVA, Stearman"
PSW4,Helicopter,1T/S,"PZL-SWIDNIK, SW-4 Maluch"
PT21,Fixed-wing,1P/S,"POTTIER, P-210 Coati"
PT22,Fixed-wing,1P/S,"RYAN, PT-22 Recruit"
PT70,Fixed-wing,1P/S,"POTTIER, P-170"
PT80,Fixed-wing,1P/S,"POTTIER, P-180"
PTMS,Fixed-wing,1P/S,"PITTS, S-12 Super Stinker"
PTRL,Fixed-wing,1P/S,"NASH, Petrel"
PTS1,Fixed-wing,1P/S,"PITTS, S-1 Special"
PTS2,Fixed-wing,1P/S,"PITTS, S-2 Special"
PTSS,Fixed-wing,1P/S,"PITTS, S-1-11 Super Stinker"
PUL6,Fixed-wing,1P/S,"PULSAR, Super Pulsar 600"
PULR,Fixed-wing,1P/S,"P&M AVIATION, PulsR"
PULS,Fixed-wing,1P/S,"PULSAR, Super Pulsar 100"
PUMA,Helicopter,2T/S+,"AEROSPATIALE, SA-330 Puma"
PUP,Fixed-wing,1P/S,"BEAGLE, B-121 Pup"
PURS,Fixed-wing,1P/S,"RANS, S-11 Pursuit"
PUSH,Fixed-wing,1P/S,"PRESCOTT, Pusher"
PW4,Fixed-wing,1P/S,"POLITECHNIKA WARSZAWSKA, PW-4"
PZ01,Fixed-wing,1P/S,"PZL-OKECIE, PZL-101 Gawron"
PZ02,Fixed-wing,1P/S,"PZL-OKECIE, PZL-102 Kos"
PZ04,Fixed-wing,1P/S,"PZL-OKECIE, PZL-104 Wilga 35"
PZ05,Fixed-wing,1P/S,"PZL-OKECIE, PZL-105 Flaming"
PZ06,Fixed-wing,1P/S,"PZL-OKECIE, PZL-106A Kruk"
PZ12,Fixed-wing,1P/S,"PZL-OKECIE, PZL-112 Junior"
PZ26,Fixed-wing,1P/S,PZL-OKECIE PZL-126 MrÃÂ³wka
PZ3T,Fixed-wing,1T/S,"PZL-OKECIE, PZL-130 Orlik"
PZ4M,Fixed-wing,1P/S,"PZL-OKECIE, PZL-104M Wilga 2000"
PZ6T,Fixed-wing,1T/S,"PZL-OKECIE, PZL-106BT Turbo Kruk"
Q01,Fixed-wing,1P/S,"REINER STEMME, Q-01"
Q1,Fixed-wing,1P/NOWGT,"GENERAL ATOMICS, RQ-1 Predator"
Q4,Fixed-wing,1J/NOWGT,"NORTHROP GRUMMAN, RQ-4 Global Hawk"
Q5,Fixed-wing,2J/S+,"HONGDU, Q-5"
Q9,Fixed-wing,1T/NOWGT,"GENERAL ATOMICS, MQ-9 Reaper"
QAIL,Fixed-wing,1P/S,"AEROSPORT, Quail"
QALT,Fixed-wing,1P/S,"FMP, Qualt"
QEST,Fixed-wing,1P/S,"OMNI-WELD, Questor"
QIC2,Fixed-wing,1P/S,"QUICKIE, Quickie Q2"
QR01,Fixed-wing,1P/S,"QUERCY, CQR-01"
QUAS,Fixed-wing,1P/S,"AEROALCOOL, Quasar Lite"
QUIC,Fixed-wing,1P/S,"QUICKIE, Quickie"
R100,Fixed-wing,1P/S,"ROBIN, R-1180 Aiglon"
R109,Fixed-wing,1P/S,"AIRCRAFT SPRUCE, DR-109 Rhino"
R11,Fixed-wing,1P/S,"RUPERT, R-11"
R135,Fixed-wing,4J/H,"BOEING, RC-135"
R185,Fixed-wing,1P/S,"JOHNSON, Rocket 185"
R2,$Fixed-wing,1P/S,"SAU, R-02 Robert"
R200,Fixed-wing,1P/S,"ROBIN, R-2100 Super Club"
R22,Helicopter,1P/S,"ROBINSON, R-22"
R300,Fixed-wing,1P/S,"ROBIN, R-300"
R4,Helicopter,1P/S,"SIKORSKY, H-4 Hoverfly"
R44,Helicopter,1P/S,"ROBINSON, R-44 Raven"
R66,Helicopter,1T/S,"ROBINSON, R-66"
R721,Fixed-wing,3J/L,"BOEING, 727-100RE Super 27"
R722,Fixed-wing,3J/L,"BOEING, 727-200RE Super 27"
R90F,Fixed-wing,1P/S,"RUSCHMEYER, R-90-230FG"
R90R,Fixed-wing,1P/S,"RUSCHMEYER, R-90-230RG"
R90T,Fixed-wing,1T/S,"RUSCHMEYER, R-90-420AT"
RA14,Fixed-wing,1P/S,"ADAM (1), RA-14 Loisirs"
RA17,Fixed-wing,1P/S,"ADAM (1), RA-17"
RAF2,Gyrocopter,1P/S,"ROTARY AIR FORCE, RAF-2000"
RAID,Fixed-wing,1P/S,"SKY RAIDER, Super Sky Raider"
RAIL ,Fixed-wing,1P/S,"AEROSPORT, Rail"
RALL,Fixed-wing,1P/S,"PZL-OKECIE, PZL-110 Koliber"
RANG,Fixed-wing,1P/S,"NAVION, Rangemaster"
RARO,Fixed-wing,1P/S,"NEW CENTURY, Radial Rocket"
RAV3,Fixed-wing,1P/S,"RAVIN, Ravin 300"
RAV5,Fixed-wing,1P/S,"RAVIN, Ravin 500"
RAZM,Fixed-wing,1P/S,"SAINT GERMAIN, Raz-Mut"
RBEL,Fixed-wing,1P/S,"MURPHY, Rebel"
RC3,@Fixed-wing,1P/S,"REPUBLIC, RC-3 Seabee"
RC70,Fixed-wing,2P/S,"ROCKWELL, Commander 700"
RD03,Fixed-wing,1P/S,"DURUBLE, RD-03 Edelweiss"
RD20,Fixed-wing,1P/S,"DENIZE, RD-20 Raid Driver"
RDH2,Fixed-wing,1P/S,"REDFERN, DH-2"
RELI,Fixed-wing,1P/S,"STINSON, AT-19 Reliant"
RENE,Fixed-wing,1P/S,"MURPHY, Renegade"
REV6,Gyrocopter,1T/S,"GROEN, Revcon 6G"
RF10,Fixed-wing,1P/S,"FOURNIER, RF-10"
RF3,Fixed-wing,1P/S,"FOURNIER, RF-3"
RF4,Fixed-wing,1P/S,"FOURNIER, RF-4"
RF47,Fixed-wing,1P/S,"FOURNIER, RF-47"
RF5,Fixed-wing,1P/S,"FOURNIER, RF-5"
RF6,Fixed-wing,1P/S,"SLINGSBY, T-3 Firefly"
RF9,Fixed-wing,1P/S,"FOURNIER, RF-9"
RFAL,Fixed-wing,2J/L,"DASSAULT, Rafale"
RGNT,Fixed-wing,1P/S,"NEIVA, C-42 Regente"
RISN,Fixed-wing,1P/S,"SWISS EXCELLENCE, Risen"
RJ03,Fixed-wing,1P/S,"JUNQUA, RJ-03 Ibis"
RJ1H,Fixed-wing,4J/L,"BAE SYSTEMS, Avro RJ-100"
RJ70,Fixed-wing,4J/L,"BRITISH AEROSPACE, RJ-70"
RJ85,Fixed-wing,4J/L,"BAE SYSTEMS, Avro RJ-85"
RK5,Fixed-wing,1P/S,"KALINAUSKAS, RK-5"
RLU1,Fixed-wing,1P/S,"RLU, RLU-1 Breezy"
RMOU,Helicopter,1T/S,"HILLBERG, EH1-01 Rotormouse"
RNGR,Fixed-wing,1P/S,"DAC, RangeR"
ROAR,Fixed-wing,1R/S,"VELOCITY, Rocket Racer"
RODS,Fixed-wing,1P/S,"AIRCRAFT SPRUCE, DR-107 One Design"
ROND,Fixed-wing,1P/S,"LOMBARDI, F-4 Rondone"
ROSE,Fixed-wing,1P/S,"MAUPIN, Windrose"
RP1,Helicopter,2T/S,"MITSUBISHI, RP-1"
RPUP,Gyrocopter,1P/S,"LITTLE WING, LW-4 Roto-Pup"
RS12,Fixed-wing,1P/S,"RANS, S-12 Airaile"
RS18,Fixed-wing,1P/S,"SPORTAVIA-PUTZER, RS-180 Sportsman"
RS20,Fixed-wing,1P/S,"RANS, S-20 Raven"
RTA4,Fixed-wing,1P/S,"RTAF, RTAF-4 Chandra"
RUBI,Fixed-wing,1P/S,"SCINTEX, ML-250 Rubis"
RV10,Fixed-wing,1P/S,"VAN'S, RV-10"
RV12,Fixed-wing,1P/S,"VAN'S, RV-12"
RV14,Fixed-wing,1P/S,"VAN'S, RV-14"
RV3,Fixed-wing,1P/S,"VAN'S, RV-3"
RV4,Fixed-wing,1P/S,"VAN'S, RV-4"
RV4T,Fixed-wing,1T/S,"VAN'S, RV-4T"
RV6,Fixed-wing,1P/S,"VAN'S, RV-6"
RV7,Fixed-wing,1P/S,"VAN'S, RV-7"
RV8,Fixed-wing,1P/S,"VAN'S, RV-8"
RV9,Fixed-wing,1P/S,"VAN'S, RV-9"
RVAL,Helicopter,2T/S+,"ATLAS, CSH-2 Rooivalk"
RW19,Fixed-wing,1P/S,"RAGWING, RW-19 Stork"
RW20,Fixed-wing,1P/S,"RAGWING, RW-20 Stork"
RW22,Fixed-wing,1P/S,"RAGWING, RW-22 Tiger Moth"
RW26,Fixed-wing,1P/S,"RAGWING, RW-26 Special 2"
RW3,Fixed-wing,1P/S,"RHEIN, RW-3 Multoplane"
RYSA,Fixed-wing,2T/S+,"TECHNOAVIA, Rysachok"
RYST,Fixed-wing,1P/S,"RYAN, PT-20"
S05F,Fixed-wing,1P/S,"SIAI-MARCHETTI, S-205-18F"
S05R,Fixed-wing,1P/S,"SIAI-MARCHETTI, S-205-18R"
S1,Fixed-wing,1P/S,"INTERSTATE, S-1 Cadet"
S10,Fixed-wing,1P/S,"STINSON, 10 Voyager"
S107,$Fixed-wing,1P/S,"SPRATT, 107"
S108,Fixed-wing,1P/S,"STINSON, 108 Voyager"
S10S,Fixed-wing,1P/S,"STEMME, S-10 Chrysalis"
S11,Fixed-wing,1P/S,"FOKKER, S-11 Instructor"
S12,@Fixed-wing,1P/S,"SPENCER, S-12 Air Car"
S122,Fixed-wing,2P/S,"SKYLINE, SL-122 Pchelka"
S12S,Fixed-wing,1P/S,"STEMME, S-12 Twin Voyager"
S15S,Fixed-wing,1P/S,"STEMME, S-15"
S15U,Fixed-wing,1P/NOWGT,"SAFRAN, S-15 Patroller"
S200,Fixed-wing,1J/S,"SIPA, S-200 Minijet"
S202,@Fixed-wing,2P/S,SGAU S-202
S208,Fixed-wing,1P/S,SIAI-MARCHETTI S-208
S21,Fixed-wing,1P/S,"MACDONALD, S-21"
S210,Fixed-wing,2J/L,"AEROSPATIALE, SE-210 Caravelle"
S211,Fixed-wing,1J/S,"SIAI-MARCHETTI, S-211"
S223,Fixed-wing,1P/S,"MESSERSCHMITT-BOLKOW, 223 Flamingo"
S22T,Fixed-wing,1P/S,"CIRRUS, SR-22 Turbo"
S274,Helicopter,1T/S,"IRGC, Shahed 274"
S278,Helicopter,1T/S,"HESA, Shahed OH-78"
S285,Helicopter,1T/S,"HESA, Shahed AH-85"
S2P,Fixed-wing,2P/S+,"GRUMMAN, S-2 Tracker"
S2T,Fixed-wing,2T/S+,"GRUMMAN, S-2 Turbo Tracker"
S3,Fixed-wing,2J/L,"LOCKHEED, S-3 Viking"
S32E,Fixed-wing,1E/S,"SCHLEICHER, ASG-32EL"
S32M,Fixed-wing,1P/S,"SCHLEICHER, ASG-32Mi"
S330,Helicopter,1T/S,"SCHWEIZER, 330"
S360,Helicopter,1T/S,"AEROSPATIALE, SA-360 Dauphin"
S37,Fixed-wing,2J/L,"SUKHOI, S-37 Berkut"
S38,@Fixed-wing,2P/S,"SIKORSKY, S-38 Replica"
S39,@Fixed-wing,1P/S,"SIKORSKY, S-39"
S4,Fixed-wing,1P/S,"ARCTIC, S-4 Privateer"
S400,$Fixed-wing,2P/S,"SGAU, S-400 Kapitan"
S434,Helicopter,1T/S,"SIKORSKY, S-434"
S45,Fixed-wing,1P/S,"PARTENAIR, S-45 Mystere"
S450,Fixed-wing,1P/S,"AERO-EAST-EUROPE, SILA-450"
S51,Helicopter,1P/S,"SIKORSKY, S-51"
S51D,Fixed-wing,1P/S,"STEWART (1), S-51D"
S52,Helicopter,1P/S,"SIKORSKY, S-52"
S55P,Helicopter,1P/S,"SIKORSKY, S-55"
S55T,Helicopter,1T/S,"SIKORSKY, S-55T"
S58P,Helicopter,1P/S+,"SIKORSKY, S-58"
S58T,Helicopter,1T/S+,"SIKORSKY, S-58T"
S6,Fixed-wing,1P/S,"STEMME, S-6"
S601,Fixed-wing,2J/S+,"AEROSPATIALE, SN-601 Corvette"
S61,Helicopter,2T/S+,"SIKORSKY, S-61A"
S61R,Helicopter,2T/S+,"SIKORSKY, S-61R"
S62,Helicopter,1T/S,"SIKORSKY, S-62"
S64,Helicopter,2T/L,"SIKORSKY, S-64 Skycrane"
S65C,Helicopter,2T/S,"AEROSPATIALE, SA-365C Dauphin 2"
S76,Helicopter,2T/S,"SIKORSKY, S-76"
S900,Fixed-wing,1P/S,"SIPA, S-901"
S92,Helicopter,2T/S+,"SIKORSKY, S-92 Helibus"
S97,Helicopter,1T/S,"SIKORSKY, S-97 Raider"
SA02,Fixed-wing,1P/S,"K & S, SA-102.5 Cavalier"
SA03,Fixed-wing,1P/S,"K & S, SA-103 Cavalier"
SA04,Fixed-wing,1P/S,"K & S, SA-104 Cavalier"
SA05,Fixed-wing,1P/S,"K & S, SA-105 Super Cavalier"
SA10,Fixed-wing,1P/S,"STOLP, SA-100 Starduster"
SA11,Fixed-wing,1P/S,"STITS, SA-11 Playmate"
SA2,Fixed-wing,1P/S,"ICP, SA-2 Rampage"
SA20,@Fixed-wing,1P/S,"BERIEV, SA-20"
SA3,Fixed-wing,1P/S,"STITS, SA-3 Playboy"
SA30,Fixed-wing,1P/S,"STOLP, SA-300 Starduster Too"
SA37,Fixed-wing,1P/S,"SCHWEIZER, SA-2-37 Condor"
SA38,Fixed-wing,2P/S,"SCHWEIZER, SA-2-38A Twin Condor"
SA50,Fixed-wing,1P/S,"STOLP, SA-500 Starlet"
SA6,Fixed-wing,1P/S,"STITS, SA-6 Flut-R-Bug"
SA6E,Fixed-wing,1T/S,"SREYA, SA-6 Envoy"
SA7,Fixed-wing,1P/S,"STITS, SA-7 Sky-Coupe"
SA70,Fixed-wing,1P/S,"STOLP, SA-700 Acroduster"
SA75,Fixed-wing,1P/S,"STOLP, SA-750 Acroduster Too"
SA8T,Fixed-wing,2T/S,"SCHWEIZER, SA-2-38B Twin Condor"
SAB2,Fixed-wing,1P/S,"ARNET PEREYRA, Sabre 2"
SABA,Fixed-wing,1P/S,"PARAVAR PARS, Saba"
SACE,Fixed-wing,1P/S,"ACRO SPORT, Super Ace"
SACR,Fixed-wing,1P/S,"SMITH (3), Acro Advanced"
SAFF,Fixed-wing,1P/S,"HALSTED, Saffire"
SAH1,Fixed-wing,1P/S,"TRAGO MILLS, SAH-1"
SAKO,Fixed-wing,1P/S,"RANS, S-10 Sakota"
SALB,Fixed-wing,1P/S,"SKYGEAR, Albatross"
SAM,Fixed-wing,1P/S,"SAM AIRCRAFT, Sam"
SAND,$Fixed-wing,4P/L,"SHORT, S-25 Sandringham"
SAPH,Fixed-wing,1P/S,"PIEL, CP-1320 Saphir"
SASH,Fixed-wing,2P/S,"SHARK AIRCRAFT, Shark"
SASP,Fixed-wing,1P/S,"SUPERMARINE AIRCRAFT, Spitfire Mk25"
SASY,Fixed-wing,1P/S,"PROTECH, PT-2 Sassy"
SATA,Fixed-wing,2J/S,"HISPANO, HA-200 Saeta"
SAVA,Fixed-wing,1P/S,"SADLER, Vampire"
SAVG,Fixed-wing,1P/S,"ZLIN AVIATION, Savage"
SB05,Fixed-wing,2J/S,"SAAB, 105"
SB20,Fixed-wing,2T/L,"SAAB, 2000"
SB29,Fixed-wing,1J/S+,"SAAB, J29"
SB32,Fixed-wing,1J/S+,"SAAB, J32 Lansen"
SB35,Fixed-wing,1J/S+,"SAAB, J35 Draken"
SB37,Fixed-wing,1J/L,"SAAB, JA37 Viggen"
SB39,Fixed-wing,1J/S+,"SAAB, JAS39 Gripen"
SB7,Fixed-wing,1P/S,"SEABIRD, SB-7 Seeker"
SB91,Fixed-wing,1P/S,"SAAB, 91 Safir"
SBD,Fixed-wing,1P/S,"DOUGLAS, A-24 Dauntless"
SBLS,Fixed-wing,2P/S,"SLIPSTREAM, SkyBlaster"
SBM3,Fixed-wing,1P/S,"E & K, SBM-03 Kos"
SBOY,Fixed-wing,1P/S,"INTERPLANE, Skyboy"
SBR1,Fixed-wing,2J/S+,"NORTH AMERICAN, Sabreliner"
SBR2,Fixed-wing,2J/S+,"NORTH AMERICAN ROCKWELL, Sabre 75"
SC01,Fixed-wing,1P/S,"GYROFLUG, SC-01 Speed Canard"
SC7,Fixed-wing,2T/S+,"SHORT, SC-7 Skyvan"
SCAM,Fixed-wing,1P/S,"AEROSPORT, Scamp"
SCEP,Fixed-wing,1P/S,"SLIPSTREAM, Scepter"
SCII,Gyrocopter,1P/S,"SPORT COPTER, SportCopter 2"
SCOM,Fixed-wing,1P/S,"AIRDALE, Comet"
SCOR,Helicopter,1P/S,"ROTORWAY, Scorpion"
SCOU,Helicopter,1T/S,"WESTLAND, Scout"
SCRO,Fixed-wing,1P/S,"AKAFLIEG MUNCHEN, MA-30 Schlacro"
SCTR,Fixed-wing,1P/S,"FLAGLOR, Scooter"
SCUB,Fixed-wing,1P/S,"AERO KUHLMANN, Scub"
SCW1,Fixed-wing,1P/S,"SCWAL, 101"
SD26,Fixed-wing,1P/S,"SKYDANCER, SD-260"
SD4,Fixed-wing,1P/S,"TOMARK, SD-4 Viper"
SDUS,Fixed-wing,1P/S,"STOLP, Super Starduster"
SE5A,Fixed-wing,1P/S,"RAF, SE-5A Replica"
SE5R,Fixed-wing,1P/S,"REPLICA PLANS, SE-5A Replica"
SEAT,@Fixed-wing,1T/S,"SEAWIND, Turbine Seawind"
SEAW,@Fixed-wing,1P/S,"SEAWIND, Seawind"
SERA,Fixed-wing,1P/S,"SERVOPLANT, Aerocraft"
SEST,@Fixed-wing,1T/S,"SEASTAR, SeaStar"
SF2,Fixed-wing,1P/S,"HAPI, SF-2 Cygnet"
SF23,Fixed-wing,1P/S,"SCHEIBE, SF-23 Sperling"
SF24,Fixed-wing,1P/S,"SCHEIBE, SF-24 Motorspatz"
SF25,Fixed-wing,1P/S,"SCHEIBE, SF-25 Falke"
SF27,Fixed-wing,1P/S,"SCHEIBE, SF-27M"
SF28,Fixed-wing,1P/S,"SCHEIBE, SF-28 Tandem Falke"
SF31,Fixed-wing,1P/S,"SPORTAVIA-PÃÆÃÅTZER, SFS-31 Milan"
SF32,Fixed-wing,1P/S,"SCHEIBE, SF-32"
SF34,Fixed-wing,2T/L,"SAAB, 340"
SF35,Fixed-wing,1P/S,SCHEIBE SF-35
SF36,Fixed-wing,1P/S,SCHEIBE SF-36
SF50,Fixed-wing,1J/S,"CIRRUS, SF-50 Vision"
SG37,Fixed-wing,1P/S,"SCHWEIZER, SGM-2-37"
SG70,Fixed-wing,1P/S,"GLASS, SG-70 STOLGlass"
SG92,Fixed-wing,1T/S,"TECHNOAVIA, SMG-92 Turbo Finist"
SGRA,Fixed-wing,1P/S,"PRESTIGE, Storm Rally"
SGUP,Fixed-wing,4T/L,"AERO SPACELINES, 377SGT Super Guppy"
SH33,Fixed-wing,2T/S+,"SHORT, C-23 Sherpa"
SH36,Fixed-wing,2T/S+,"SHORT, SD3-60"
SH4,Helicopter,1P/S,"SILVERCRAFT, SH-4"
SH5,$Fixed-wing,4T/L,"HARBIN, SH-5"
SHAC,Fixed-wing,4P/L,"AVRO, 696 Shackleton"
SHAK,@Fixed-wing,1P/S,"FREEDOM MASTER, FM-2 Air Shark"
SHAW,Fixed-wing,1J/S+,"HAWKER, Sea Hawk"
SHEA,@Fixed-wing,1P/S,"SEAFLIGHT, Shearwater"
SHEK,Fixed-wing,1P/S,"RANS, S-16 Shekari"
SHER,Fixed-wing,1P/S,"SHERPA, Sherpa C-400"
SHIP,,,"(any manufacturer), Airship"
SHOE,Fixed-wing,1P/S,"MERCURY, Shoestring"
SHOP,Fixed-wing,1P/S,"SALVAY-STARK, Skyhopper"
SHOR,Fixed-wing,1P/S,"HIGHER CLASS, Super Hornet"
SHRK,Fixed-wing,1P/S,"SHARK AERO, Shark"
SHRT,Fixed-wing,1T/S,"SHERPA, Sherpa K-650T"
SIDE,Fixed-wing,1P/S,"SMYTH, S Sidewinder"
SIGM,Fixed-wing,1P/S,"ELITAR, Sigma"
SILH,Fixed-wing,1P/S,"LUNDS TEKNISKE, SA-60 Silhouette"
SIR2,Fixed-wing,1P/S,"RHEIN, Sirius 2"
SIRA,Fixed-wing,1P/S,"TECNAM, P-2002 Sierra"
SJ30,Fixed-wing,2J/S+,"SWEARINGEN, SJ-30"
SK10,Fixed-wing,1P/S,"SKYETON, K-10 Swift"
SK70,Fixed-wing,2P/S,"STARKRAFT, SK-700"
SKAR,Fixed-wing,1P/S,"III, Sky Arrow"
SKIF,@Fixed-wing,1P/S,"AEROLITES, AeroSkiff"
SKIM,@Fixed-wing,1P/S,"COLONIAL, C-1 Skimmer"
SKRA,Fixed-wing,1P/S,"BEST OFF, Sky Ranger"
SKYC,Fixed-wing,2P/S,"OMA SUD, Skycar"
SKYO,Fixed-wing,1P/S,"SKYOTE AEROMARINE, Skyote"
SKYR,Fixed-wing,1P/S,"REARWIN,175 Skyranger"
SL1,Fixed-wing,1P/S,"STAR-LITE, SL-1 Star-Lite"
SL39,Fixed-wing,1P/S,"MAPO, SL-39"
SL90,Fixed-wing,1P/S,AVIOTECHNICA SL-90 Leshii
SLCH,Fixed-wing,6J/H,"SCALED	351 Stratolaunch"
SLG2,Fixed-wing,1P/S,"AIRPLANE FACTORY, Sling 2"
SLG4,Fixed-wing,1P/S,"AIRPLANE FACTORY, Sling 4"
SLK3,Fixed-wing,1P/S,"SLICK, 360"
SLK5,Fixed-wing,1P/S,"SLICK, 540"
SM01,Fixed-wing,1P/S,"STERN-MALLICK, SM-01 Vega"
SM19,Fixed-wing,1T/S,"SIAI-MARCHETTI, SM-1019"
SM20,Fixed-wing,1T/S,"TECHNOAVIA, SM-2000"
SM60,Fixed-wing,3P/S,"STINSON, SM-6000 Tri-Motor"
SM92,Fixed-wing,1P/S,"TECHNOAVIA, SM-92 Finist"
SMAX,@Fixed-wing,1P/S,"AIRMAX, M-22 SeaMax"
SMB2,Fixed-wing,1J/S+,"DASSAULT, Super MystÃÂ¨re B2"
SNAD,Gyrocopter,1P/S,"CALUMET, 636 Snobird Adventurer"
SNAP,Fixed-wing,1P/S,"DALLAIR, FR-01 Snap"
SNGY,Fixed-wing,1P/S,"LANCAIR, T-90 Calima"
SNOS,Fixed-wing,1P/S,"VSR, SR-1 Snoshoo"
SNS2,Fixed-wing,1P/S,"SORRELL, SNS-2 Guppy"
