Company,Country,Telephony,3Ltr
"AERO SERVICIOS PLATINUM, S.A. DE C.V.",MEXICO,AERO PLATINUM,PNU
"AERO SERVICIOS REGIOMONTANOS, S.A. DE C.V.",MEXICO,ASERGIO,ERI
"AERO SILZA, S.A. DE C.V.",MEXICO,AEROSILZA,SIZ
AERO SKY S.L.,SPAIN,MULTISKY,ASK
AERO SOTRAVIA,FRANCE,SOTRAVIA,ASR
AERO SURVEY LTD,GHANA,EASY SHUTTLE,IKM
AERO TAK LIMITED,NIGERIA,AEROTAK,KAT
"AERO TAXI DEL POTOSI, S.A.",MEXICO,TAXI-POTOSI,TPO
"AERO TAXIS Y SERVICIOS ALFE, S.A. DE C.V.",MEXICO,AERO ALFE,FES
"AERO TOLUCA INTERNACIONAL, S.A. DE C.V.",MEXICO,AEROTOLUCA,TLU
"AERO TOMZA, S.A. DE C.V.",MEXICO,AERO TOMZA,TZA
"AERO TRANSPORTE LA MONTANA, C. A.",VENEZUELA,LA MONTANA,RTE
AERO TRANSPORTE S.A. (ATSA),PERU,ATSA,AMP
AERO TRANSPORTES EMPRESARIALES,MEXICO,EMPRESARIALES,EPL
"AERO TROPICAL, LDA",ANGOLA,AERO TROPICAL,TPB
"AERO UTIL, S.A. DE C.V.",MEXICO,AEROUTIL,TLE
"AERO VICS, S.A. DE C.V.",MEXICO,AEROVICS,ARI
"AERO VIREL, S.A. DE C.V.",MEXICO,VIREL,VLS
AERO VISION,FRANCE,AEROVISION,AOV
AERO VODOCHODY,CZECHIA,AERO CZECH,AOD
"AERO WAYS, INC. (NEW CASTLE, DE)",UNITED STATES,TARKA,TKK
"AERO YAQUI MAYO, S. A. DE C.V.",MEXICO,AERO YAQUI,MYS
"AERO-BETA GMBH & CO., STUTTGART",GERMANY,AEROBETA,ABA
"AERO-MICRONESIA, INC. D/B/A ASIA PACIFIC AIRLINES (DANVILLE, CA)",UNITED STATES,MAGELLAN,MGE
AERO-PYRENEES,FRANCE,AERO-PYRENEES,EAP
"AERO-REY, S.A. DE C.V.",MEXICO,AEROREY,REY
AERO-TECH SERVICES,UNITED STATES,ATECH,TEK
AEROALJARAFE S.L.,SPAIN,ALJARAFE,AJH
"AEROANDINAS, C.A.",VENEZUELA,CORDILLERAS,ARD
AEROATLAS S.A.,COLOMBIA,ATCO,AQA
AEROBELL AIRLINES,COSTA RICA,CALI,GAB
AEROBILITY,UNITED KINGDOM,ABLE,DFA
"AEROBOLIVAR, C.A.",VENEZUELA,AEROBOLIVAR,IVA
"AEROBONA, S.A. DE C.V.",MEXICO,AEROBONA,BOC
AEROBRIDGE,UNITED STATES,AEROBRIDGE,BGE
AEROCARDAL,CHILE,AEROCARDAL,CDA
AEROCARIBE AIRLINES,VENEZUELA,CARIBE,CVZ
"AEROCARIBE CORO, C.A.",VENEZUELA,CARIBE CORO,AOB
"AEROCARIBE DE HONDURAS, S. DE R.L. (HONDURAS AIR)",HONDURAS,HONDURAS AIR,HAS
"AEROCENTER, ESCUELA DE FORMACION DE PILOTOS PRIVADOS DE AVION",SPAIN,AEROCENTER,ACR
AEROCHARTER,GUATEMALA,,ERC
AEROCLUB BARCELONA-SABADELL,SPAIN,,BSO
AEROCLUB DE ALBACETE,SPAIN,,NVA
AEROCLUB DE ALICANTE,SPAIN,,LUE
AEROCLUB DE MALLORCA,SPAIN,MALLORCA,MLL
AEROCLUB DE VITORIA,SPAIN,,AVX
AEROCLUBE DE COIMBRA,PORTUGAL,MONDEGO,MOD
AEROCOM AVIATION OY,FINLAND,CITY COPTER,HCX
AEROCON LTDA.,BOLIVIA,AEROCON,AEK
